object,material,boq_ref,qty_modelled,qty_boq,variance,status
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/1,,14.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/1a,,21.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/2,,2.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/3,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/4,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/5,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/6,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/7,,70.0,,Blocked - awaiting room identification
