object,material,boq_ref,qty_modelled,qty_boq,variance,status
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/8,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/9,,2.0,,Blocked - awaiting room identification
