object,material,boq_ref,qty_modelled,qty_boq,variance,status
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/10,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/11,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/12,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/13,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/14,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/15,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/16,,1.0,,Blocked - awaiting room identification
