object,material,boq_ref,qty_modelled,qty_boq,variance,status
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/22,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/23,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/24,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/25,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/26,,1.0,,Blocked - awaiting room identification
NOT MODELLED - room not located (C-03),,R1-M.A.740-26/27,,1.0,,Blocked - awaiting room identification
